user_id,age,plan_type,account_age_days,churned,days_since_last_login,total_watch_time_30d,avg_rating,num_ratings
U1001,50,Basic,209,0,104.0,43.0,5.0,1.0
U1002,30,Standard,399,0,70.0,0.0,0.0,0.0
U1003,25,Standard,476,0,48.0,128.0,0.0,0.0
U1004,57,Premium,541,0,29.0,26.0,2.0,1.0
U1005,57,Premium,255,1,107.0,79.0,2.5,4.0
U1006,52,Standard,625,0,86.0,0.0,3.3333333333333335,3.0
U1007,26,Standard,497,0,37.0,0.0,3.0,4.0
U1008,21,Basic,158,0,105.0,0.0,1.5,2.0
U1009,21,Basic,406,0,142.0,67.0,1.0,1.0
U1010,60,Premium,590,1,59.0,54.0,1.0,1.0
U1011,50,Basic,613,0,128.0,104.0,4.0,1.0
U1012,45,Standard,524,0,103.0,143.0,2.75,4.0
U1013,55,Basic,309,0,31.0,0.0,4.333333333333333,3.0
U1014,51,Standard,302,0,34.0,38.0,2.75,4.0
U1015,32,Premium,466,1,75.0,0.0,2.0,2.0
U1016,26,Basic,685,0,20.0,0.0,2.5,2.0
U1017,32,Standard,1,1,58.0,0.0,3.5,2.0
U1018,25,Standard,700,1,1.0,106.0,0.0,0.0
U1019,42,Basic,15,0,11.0,0.0,1.0,1.0
U1020,30,Standard,372,0,68.0,117.0,3.6666666666666665,3.0
U1021,39,Standard,326,0,27.0,73.0,1.0,1.0
U1022,25,Basic,384,0,179.0,0.0,3.0,1.0
U1023,51,Basic,242,0,999.0,0.0,0.0,0.0
U1024,40,Premium,595,0,139.0,0.0,0.0,0.0
U1025,50,Standard,322,1,999.0,0.0,2.0,2.0
U1026,59,Standard,228,0,54.0,0.0,3.3333333333333335,3.0
U1027,54,Basic,669,0,29.0,96.0,0.0,0.0
U1028,32,Standard,478,0,28.0,10.0,0.0,0.0
U1029,53,Basic,671,0,62.0,26.0,3.3333333333333335,3.0
U1030,26,Basic,583,0,122.0,0.0,0.0,0.0
U1031,33,Basic,103,0,95.0,63.0,4.0,1.0
U1032,45,Standard,270,0,72.0,105.0,2.0,1.0
U1033,25,Basic,477,0,86.0,45.0,3.3333333333333335,3.0
U1034,21,Basic,501,0,10.0,0.0,3.6666666666666665,3.0
U1035,26,Premium,81,0,45.0,0.0,4.5,2.0
U1036,41,Premium,283,0,107.0,7.0,2.25,4.0
U1037,33,Basic,210,0,36.0,110.0,0.0,0.0
U1038,25,Standard,347,1,15.0,0.0,0.0,0.0
U1039,59,Standard,499,1,98.0,0.0,3.4,5.0
U1040,29,Premium,116,1,28.0,0.0,4.0,1.0
U1041,53,Basic,570,0,107.0,0.0,2.5,2.0
U1042,40,Premium,505,1,9.0,44.0,4.5,2.0
U1043,35,Premium,230,0,19.0,86.0,1.0,1.0
U1044,60,Premium,658,0,103.0,57.0,2.4,5.0
U1045,34,Standard,343,0,91.0,0.0,4.0,1.0
U1046,51,Standard,547,0,6.0,0.0,2.0,1.0
U1047,46,Standard,710,1,57.0,0.0,2.0,1.0
U1048,29,Standard,640,0,103.0,0.0,0.0,0.0
U1049,45,Premium,708,0,89.0,0.0,4.0,1.0
U1050,37,Basic,241,0,72.0,95.0,0.0,0.0
U1051,20,Standard,664,1,32.0,132.0,0.0,0.0
U1052,49,Basic,8,0,31.0,0.0,0.0,0.0
U1053,34,Premium,31,0,24.0,0.0,4.25,4.0
U1054,54,Standard,488,0,19.0,0.0,4.0,1.0
U1055,57,Basic,68,0,137.0,0.0,3.5,2.0
U1056,37,Premium,516,0,999.0,0.0,3.0,4.0
U1057,43,Premium,42,0,999.0,186.0,0.0,0.0
U1058,52,Basic,11,0,51.0,0.0,5.0,2.0
U1059,23,Basic,254,0,999.0,0.0,5.0,1.0
U1060,43,Basic,478,0,177.0,0.0,3.0,1.0
U1061,46,Basic,230,0,25.0,0.0,0.0,0.0
U1062,28,Standard,567,0,39.0,20.0,2.0,2.0
U1063,37,Standard,635,1,7.0,0.0,2.0,1.0
U1064,27,Premium,347,0,999.0,0.0,2.75,4.0
U1065,52,Basic,135,0,109.0,90.0,3.5,2.0
U1066,38,Standard,41,0,2.0,103.0,0.0,0.0
U1067,24,Premium,136,1,37.0,67.0,1.0,1.0
U1068,56,Basic,415,0,43.0,0.0,0.0,0.0
U1069,41,Standard,133,0,122.0,0.0,4.0,2.0
U1070,35,Standard,309,0,999.0,53.0,0.0,0.0
U1071,20,Premium,313,0,47.0,0.0,2.6666666666666665,3.0
U1072,42,Premium,108,0,21.0,0.0,3.5,4.0
U1073,31,Basic,323,0,15.0,0.0,3.6666666666666665,3.0
U1074,26,Standard,59,0,30.0,0.0,2.0,1.0
U1075,37,Basic,475,0,149.0,0.0,0.0,0.0
