rating_id,user_id,show_id,rating
R1,U3960,S30,5
R2,U5166,S28,1
R3,U4766,S4,5
R4,U4647,S29,2
R5,U2915,S32,5
R6,U2605,S24,1
R7,U5079,S4,4
R8,U2139,S34,5
R9,U1970,S10,5
R10,U1076,S21,4
R11,U2822,S14,5
R12,U3055,S18,4
R13,U3381,S23,3
R14,U3144,S26,3
R15,U2432,S21,3
R16,U3821,S27,4
R17,U4915,S29,3
R18,U5480,S36,1
R19,U2583,S26,1
R20,U5977,S3,2
R21,U4658,S5,5
R22,U2732,S24,5
R23,U3596,S28,4
R24,U4135,S24,4
R25,U1627,S35,1
R26,U5718,S27,3
R27,U5256,S29,2
R28,U2758,S3,5
R29,U2391,S4,3
R30,U3078,S34,5
R31,U3657,S29,2
R32,U2423,S4,1
R33,U4513,S31,5
R34,U5158,S15,3
R35,U2243,S31,1
R36,U2387,S24,1
R37,U5124,S20,3
R38,U5491,S31,2
R39,U5971,S19,3
R40,U5650,S14,3
R41,U2649,S11,4
R42,U1033,S7,5
R43,U5320,S36,5
R44,U4519,S17,3
R45,U2833,S30,4
R46,U1511,S26,1
R47,U4363,S29,1
R48,U3043,S20,4
R49,U2093,S11,2
R50,U4793,S34,1
R51,U3203,S33,1
R52,U5375,S28,4
R53,U1925,S36,4
R54,U5128,S29,5
R55,U4542,S8,1
R56,U5670,S30,4
R57,U2750,S16,4
R58,U2828,S5,2
R59,U5808,S7,5
R60,U2921,S7,5
R61,U2394,S7,1
R62,U3581,S3,3
R63,U1259,S16,1
R64,U2863,S7,3
R65,U2468,S10,4
R66,U1886,S2,3
R67,U2592,S13,4
R68,U4979,S24,5
R69,U3484,S29,5
R70,U3764,S16,2
R71,U2112,S16,4
R72,U4876,S8,2
R73,U1249,S27,4
R74,U3310,S28,4
R75,U5906,S3,1
R76,U5817,S32,1
R77,U5109,S24,1
R78,U2696,S32,3
R79,U2400,S35,4
R80,U1433,S25,4
R81,U5628,S4,5
R82,U3199,S4,3
R83,U2784,S6,4
R84,U3394,S30,3
R85,U2845,S20,1
R86,U5879,S6,1
R87,U4878,S5,5
R88,U2195,S34,3
R89,U2934,S19,5
R90,U2155,S32,2
R91,U2515,S14,4
R92,U1443,S26,4
R93,U5564,S31,4
R94,U2948,S24,4
R95,U3328,S23,2
R96,U3706,S6,1
R97,U5873,S8,5
R98,U4630,S22,5
R99,U4635,S3,2
R100,U4054,S13,5
R101,U1267,S13,3
R102,U5361,S36,3
R103,U1805,S35,5
R104,U3982,S4,5
R105,U2185,S15,2
R106,U3758,S30,3
R107,U5834,S9,5
R108,U2535,S12,1
R109,U2055,S2,2
R110,U4616,S21,4
R111,U5972,S24,5
R112,U5587,S6,5
R113,U1263,S5,2
R114,U2809,S28,5
R115,U3954,S16,5
R116,U5956,S17,2
R117,U2904,S12,5
R118,U3265,S2,1
R119,U5644,S20,1
R120,U1259,S36,5
R121,U1774,S36,2
R122,U4375,S25,4
R123,U4826,S32,4
R124,U1228,S22,4
R125,U4969,S10,3
R126,U2006,S30,4
R127,U4055,S12,1
R128,U2354,S16,4
R129,U4303,S25,3
R130,U1811,S25,4
R131,U4441,S18,5
R132,U2972,S16,5
R133,U5732,S13,3
R134,U4456,S28,5
R135,U5377,S19,3
R136,U3237,S9,5
R137,U5144,S28,1
R138,U5308,S8,2
R139,U5425,S34,1
R140,U3944,S35,5
R141,U3341,S17,5
R142,U3691,S29,5
R143,U2173,S9,3
R144,U4834,S4,3
R145,U4319,S12,5
R146,U1760,S19,1
R147,U3928,S1,5
R148,U1049,S31,4
R149,U1328,S23,2
R150,U4433,S20,1
R151,U5825,S35,4
R152,U1076,S7,2
R153,U3856,S9,1
R154,U4708,S2,5
R155,U4309,S19,2
R156,U4365,S8,3
R157,U2603,S32,3
R158,U3764,S11,3
R159,U2873,S21,4
R160,U1476,S2,4
R161,U3077,S13,2
R162,U1418,S12,2
R163,U4649,S7,3
R164,U5467,S34,5
R165,U5133,S7,2
R166,U2227,S36,3
R167,U6000,S5,5
R168,U4092,S4,3
R169,U5340,S26,3
R170,U2691,S11,1
R171,U4289,S32,2
R172,U1081,S15,3
R173,U5489,S34,3
R174,U5083,S19,5
R175,U3402,S1,1
R176,U2782,S25,3
R177,U3618,S21,1
R178,U3678,S32,4
R179,U3738,S19,1
R180,U2546,S8,4
R181,U2071,S18,2
R182,U4952,S18,4
R183,U1283,S33,1
R184,U2065,S33,2
R185,U3166,S34,5
R186,U3301,S7,1
R187,U1679,S5,5
R188,U3498,S27,4
R189,U4904,S3,1
R190,U2272,S16,3
R191,U5451,S7,1
R192,U2033,S9,1
R193,U4344,S7,3
R194,U4412,S30,3
R195,U5164,S27,1
R196,U1411,S4,4
R197,U2476,S28,5
R198,U3008,S7,2
R199,U5031,S35,1
R200,U4137,S19,1
R201,U1752,S23,4
R202,U3295,S23,2
R203,U4958,S22,5
R204,U4744,S8,3
R205,U1672,S26,1
R206,U2262,S18,4
R207,U3198,S7,5
R208,U5753,S27,2
R209,U5967,S29,4
R210,U5467,S19,2
R211,U1203,S19,1
R212,U4203,S30,1
R213,U1831,S13,4
R214,U2431,S15,2
R215,U2519,S34,3
R216,U1042,S22,4
R217,U4876,S29,3
R218,U4199,S33,5
R219,U1193,S1,5
R220,U1707,S29,5
R221,U3629,S36,1
R222,U3598,S8,1
R223,U4147,S3,4
R224,U1025,S6,3
R225,U5893,S19,1
R226,U3549,S17,3
R227,U5216,S29,5
R228,U1227,S17,1
R229,U2234,S25,2
R230,U3243,S30,3
R231,U3409,S22,2
R232,U5075,S19,3
R233,U5785,S27,5
R234,U2012,S30,1
R235,U5711,S11,4
R236,U2723,S35,1
R237,U4859,S22,5
R238,U3532,S16,4
R239,U3525,S13,5
R240,U2059,S23,1
R241,U2607,S21,2
R242,U1366,S10,2
R243,U4230,S1,2
R244,U2788,S14,5
R245,U2606,S31,2
R246,U2791,S12,3
R247,U4350,S11,3
R248,U1681,S26,3
R249,U5705,S2,1
R250,U3837,S12,5
R251,U4562,S35,3
R252,U5944,S36,5
R253,U4094,S14,5
R254,U4902,S18,5
R255,U3351,S36,2
R256,U3911,S32,2
R257,U5081,S9,5
R258,U2985,S4,4
R259,U3003,S8,4
R260,U5252,S11,3
R261,U5840,S15,3
R262,U5264,S3,5
R263,U1822,S4,5
R264,U3296,S23,2
R265,U4073,S34,2
R266,U3632,S24,1
R267,U4347,S21,5
R268,U1666,S36,3
R269,U1801,S25,4
R270,U2679,S7,2
R271,U3560,S31,5
R272,U2154,S33,5
R273,U1872,S7,3
R274,U2261,S28,5
R275,U2431,S17,2
R276,U3515,S18,1
R277,U1983,S16,2
R278,U1156,S1,3
R279,U5322,S26,5
R280,U4463,S28,3
R281,U5960,S25,3
R282,U1700,S16,2
R283,U2844,S19,2
R284,U2477,S6,2
R285,U2374,S7,3
R286,U1962,S28,3
R287,U4874,S15,1
R288,U4566,S11,3
R289,U2137,S14,5
R290,U5696,S5,5
R291,U5056,S11,4
R292,U4542,S33,3
R293,U3832,S34,3
R294,U1078,S32,5
R295,U5022,S26,1
R296,U3181,S17,1
R297,U1044,S35,2
R298,U4630,S34,3
R299,U5459,S11,4
R300,U5164,S6,3
R301,U5887,S9,4
R302,U1590,S35,1
R303,U5415,S34,2
R304,U1944,S31,3
R305,U4193,S5,3
R306,U5160,S1,1
R307,U5901,S8,1
R308,U4235,S26,3
R309,U5894,S32,5
R310,U1006,S15,3
R311,U5070,S12,4
R312,U4467,S31,3
R313,U5763,S17,1
R314,U5131,S9,5
R315,U1505,S12,3
R316,U2888,S5,2
R317,U5234,S34,1
R318,U4626,S24,3
R319,U5312,S4,3
R320,U4904,S12,3
R321,U1235,S36,1
R322,U1424,S3,4
R323,U2339,S21,1
R324,U1648,S14,5
R325,U4183,S8,4
R326,U3727,S9,3
R327,U3778,S10,3
R328,U5258,S30,3
R329,U5505,S6,3
R330,U3523,S27,3
R331,U2314,S29,2
R332,U1240,S26,5
R333,U2556,S5,3
R334,U5221,S8,3
R335,U3565,S22,5
R336,U4422,S1,2
R337,U5272,S29,5
R338,U1666,S27,2
R339,U3871,S35,2
R340,U3200,S13,5
R341,U3410,S21,4
R342,U1565,S28,2
R343,U3985,S6,2
R344,U3508,S16,2
R345,U1412,S4,2
R346,U4552,S29,2
R347,U4868,S7,2
R348,U2090,S17,3
R349,U1959,S22,5
R350,U4539,S18,2
R351,U4687,S11,5
R352,U1505,S14,1
R353,U1998,S29,1
R354,U5786,S34,4
R355,U4956,S26,3
R356,U3229,S2,1
R357,U1734,S3,3
R358,U2011,S26,5
R359,U4507,S25,4
R360,U3765,S33,5
R361,U2844,S27,3
R362,U5328,S6,5
R363,U4328,S14,4
R364,U5258,S31,5
