watch_id,user_id,show_id,genre,watch_time,watch_date
W1,U5514,S13,Drama,64,2025-05-06
W2,U1598,S30,Sci-Fi,34,2025-06-27
W3,U5481,S18,Sci-Fi,116,2025-04-20
W4,U2682,S33,Romance,119,2025-07-08
W5,U4568,S33,Romance,49,2025-06-13
W6,U1585,S17,Thriller,47,2025-06-06
W7,U2422,S33,Romance,53,2025-05-09
W8,U5640,S34,Mystery,63,2025-05-24
W9,U4603,S8,Mystery,26,2025-07-16
W10,U3589,S7,Drama,119,2025-03-25
W11,U5721,S1,Sci-Fi,19,2025-03-22
W12,U5505,S20,Horror,7,2025-04-09
W13,U2682,S18,Sci-Fi,20,2025-07-21
W14,U5471,S18,Sci-Fi,33,2025-01-30
W15,U2211,S33,Romance,33,2025-03-06
W16,U4614,S8,Mystery,53,2025-04-09
W17,U2899,S26,Thriller,74,2025-07-09
W18,U2704,S33,Romance,20,2025-02-02
W19,U2384,S13,Drama,65,2025-06-17
W20,U2882,S10,Fantasy,22,2025-06-18
W21,U5930,S29,Crime,61,2025-07-04
W22,U4812,S21,Drama,58,2025-04-18
W23,U5628,S33,Romance,32,2025-06-23
W24,U1462,S24,Drama,30,2025-04-15
W25,U2868,S15,Action,119,2025-03-15
W26,U2450,S15,Action,109,2025-04-28
W27,U1094,S12,Comedy,8,2025-05-25
W28,U3352,S1,Sci-Fi,70,2025-04-16
W29,U5427,S11,Crime,75,2025-04-21
W30,U3931,S9,Drama,76,2025-05-28
W31,U2206,S36,Horror,73,2025-06-25
W32,U5536,S2,Action,78,2025-05-29
W33,U5547,S11,Crime,13,2025-02-24
W34,U3670,S5,Sci-Fi,33,2025-06-06
W35,U2989,S25,War,65,2025-05-20
W36,U5219,S10,Fantasy,7,2025-07-24
W37,U1922,S34,Mystery,75,2025-05-02
W38,U4474,S10,Fantasy,89,2025-06-20
W39,U4223,S12,Comedy,103,2025-05-05
W40,U5307,S1,Sci-Fi,78,2025-01-31
W41,U5036,S9,Drama,43,2025-06-11
W42,U5420,S11,Crime,53,2025-03-13
W43,U2850,S23,Crime,7,2025-07-07
W44,U4480,S15,Action,18,2025-04-14
W45,U1401,S20,Horror,113,2025-05-27
W46,U1179,S30,Sci-Fi,85,2025-05-16
W47,U2844,S2,Action,10,2025-02-20
W48,U4784,S3,Drama,48,2025-05-09
W49,U3755,S12,Comedy,100,2025-06-11
W50,U2350,S15,Action,41,2025-06-21
W51,U4300,S16,Romance,27,2025-07-22
W52,U2440,S6,Animation,81,2025-07-03
W53,U5609,S8,Mystery,97,2025-04-04
W54,U4522,S5,Sci-Fi,73,2025-03-11
W55,U3860,S12,Comedy,9,2025-02-01
W56,U1827,S25,War,10,2025-01-29
W57,U5349,S9,Drama,61,2025-04-10
W58,U5639,S1,Sci-Fi,63,2025-05-06
W59,U4738,S28,Sci-Fi,79,2025-04-28
W60,U4925,S24,Drama,64,2025-03-11
W61,U1823,S13,Drama,89,2025-05-17
W62,U5703,S19,Animation,28,2025-07-07
W63,U5358,S5,Sci-Fi,54,2025-03-01
W64,U1950,S7,Drama,42,2025-06-01
W65,U1297,S23,Crime,23,2025-07-18
W66,U4643,S23,Crime,29,2025-02-06
W67,U1365,S21,Drama,26,2025-05-24
W68,U2562,S29,Crime,113,2025-04-21
W69,U2742,S13,Drama,112,2025-03-28
W70,U1288,S10,Fantasy,98,2025-06-28
W71,U3556,S25,War,35,2025-04-26
W72,U5125,S16,Romance,79,2025-02-02
W73,U4977,S3,Drama,112,2025-04-26
W74,U5788,S18,Sci-Fi,44,2025-03-14
W75,U3128,S11,Crime,9,2025-05-26
W76,U4194,S28,Sci-Fi,18,2025-05-05
W77,U4828,S31,Fantasy,84,2025-07-26
W78,U3016,S25,War,35,2025-05-20
W79,U1349,S5,Sci-Fi,44,2025-02-28
W80,U2172,S4,Crime,45,2025-04-21
W81,U5082,S28,Sci-Fi,5,2025-05-22
W82,U3100,S33,Romance,46,2025-03-24
W83,U3132,S26,Thriller,21,2025-06-30
W84,U5687,S5,Sci-Fi,85,2025-07-22
W85,U3773,S6,Animation,81,2025-02-28
W86,U1360,S33,Romance,44,2025-04-06
W87,U1274,S5,Sci-Fi,11,2025-06-05
W88,U2816,S19,Animation,81,2025-03-06
W89,U2959,S2,Action,29,2025-05-02
W90,U3720,S18,Sci-Fi,73,2025-03-23
W91,U1051,S2,Action,110,2025-02-21
W92,U2477,S36,Horror,65,2025-07-22
W93,U2089,S27,Action,71,2025-03-31
W94,U4454,S24,Drama,90,2025-06-23
W95,U1967,S17,Thriller,74,2025-07-14
W96,U2631,S34,Mystery,33,2025-03-31
W97,U5918,S7,Drama,74,2025-06-17
W98,U4864,S4,Crime,68,2025-02-28
W99,U2443,S31,Fantasy,91,2025-03-16
W100,U3720,S26,Thriller,70,2025-02-27
W101,U5157,S12,Comedy,66,2025-02-28
W102,U2954,S8,Mystery,46,2025-02-24
W103,U2462,S21,Drama,107,2025-05-15
W104,U3013,S17,Thriller,35,2025-03-01
W105,U3784,S16,Romance,11,2025-05-15
W106,U2575,S20,Horror,66,2025-01-28
W107,U5748,S33,Romance,89,2025-03-16
W108,U5229,S28,Sci-Fi,82,2025-06-29
W109,U2454,S27,Action,97,2025-05-17
W110,U1618,S29,Crime,118,2025-04-25
W111,U2990,S13,Drama,5,2025-07-02
W112,U3975,S6,Animation,109,2025-02-05
W113,U2491,S6,Animation,43,2025-04-29
W114,U1176,S19,Animation,38,2025-05-12
W115,U4962,S15,Action,60,2025-06-14
W116,U3886,S19,Animation,116,2025-04-20
W117,U5601,S27,Action,103,2025-05-07
W118,U1413,S3,Drama,59,2025-06-29
W119,U3905,S1,Sci-Fi,96,2025-02-23
W120,U3921,S35,Action,99,2025-02-25
W121,U1341,S24,Drama,115,2025-02-10
W122,U1547,S3,Drama,28,2025-04-11
W123,U2210,S14,Crime,35,2025-05-21
W124,U2217,S29,Crime,35,2025-06-01
W125,U3523,S8,Mystery,52,2025-06-13
W126,U2233,S2,Action,66,2025-03-14
W127,U5675,S27,Action,65,2025-06-11
W128,U1247,S23,Crime,29,2025-06-05
W129,U5827,S20,Horror,89,2025-04-21
W130,U2351,S25,War,6,2025-06-07
W131,U3879,S6,Animation,72,2025-03-23
W132,U2348,S15,Action,11,2025-06-18
W133,U5649,S20,Horror,93,2025-03-25
W134,U2803,S12,Comedy,68,2025-06-10
W135,U2552,S24,Drama,23,2025-06-20
W136,U2479,S30,Sci-Fi,26,2025-01-29
W137,U3233,S36,Horror,97,2025-01-27
W138,U4710,S26,Thriller,56,2025-06-08
W139,U3300,S31,Fantasy,91,2025-03-13
W140,U5697,S3,Drama,117,2025-05-24
W141,U5980,S6,Animation,11,2025-02-23
W142,U3020,S1,Sci-Fi,7,2025-05-23
W143,U3908,S19,Animation,101,2025-04-27
W144,U5031,S19,Animation,41,2025-06-18
W145,U2411,S14,Crime,26,2025-05-26
W146,U4370,S26,Thriller,79,2025-06-17
W147,U5738,S17,Thriller,64,2025-06-24
W148,U2319,S10,Fantasy,30,2025-02-08
W149,U5328,S15,Action,21,2025-04-08
W150,U4552,S10,Fantasy,53,2025-07-11
W151,U1896,S23,Crime,62,2025-05-17
W152,U4624,S30,Sci-Fi,17,2025-02-24
W153,U1113,S22,Mystery,73,2025-05-27
W154,U1032,S31,Fantasy,27,2025-07-27
W155,U4746,S21,Drama,45,2025-07-01
W156,U4972,S27,Action,95,2025-03-22
W157,U1238,S10,Fantasy,101,2025-02-13
W158,U3101,S16,Romance,82,2025-05-26
W159,U4648,S35,Action,37,2025-04-21
W160,U5661,S5,Sci-Fi,40,2025-04-15
W161,U4793,S29,Crime,45,2025-06-01
W162,U2284,S32,Adventure,75,2025-04-23
W163,U1641,S5,Sci-Fi,88,2025-02-15
W164,U5015,S25,War,34,2025-06-08
W165,U5501,S29,Crime,94,2025-07-02
W166,U1019,S3,Drama,117,2025-03-24
W167,U4143,S16,Romance,96,2025-04-09
W168,U1946,S27,Action,14,2025-02-24
W169,U4144,S12,Comedy,47,2025-04-06
W170,U4800,S4,Crime,73,2025-04-18
W171,U2604,S30,Sci-Fi,96,2025-04-18
W172,U3430,S34,Mystery,9,2025-07-07
W173,U5454,S36,Horror,34,2025-03-14
W174,U5418,S11,Crime,69,2025-05-31
W175,U5297,S30,Sci-Fi,114,2025-03-19
W176,U5943,S35,Action,103,2025-04-13
W177,U1444,S31,Fantasy,78,2025-07-23
W178,U1292,S36,Horror,104,2025-03-05
W179,U5255,S34,Mystery,23,2025-03-28
W180,U3574,S27,Action,35,2025-04-25
W181,U2401,S23,Crime,26,2025-07-11
W182,U1327,S23,Crime,35,2025-07-24
W183,U1089,S24,Drama,13,2025-05-31
W184,U1400,S6,Animation,25,2025-01-29
W185,U2063,S9,Drama,27,2025-03-03
W186,U5834,S6,Animation,83,2025-04-01
W187,U2104,S32,Adventure,90,2025-05-26
W188,U4331,S1,Sci-Fi,60,2025-02-23
W189,U5700,S12,Comedy,94,2025-03-23
W190,U5828,S36,Horror,54,2025-03-28
W191,U3654,S19,Animation,92,2025-06-06
W192,U5553,S17,Thriller,52,2025-02-08
W193,U1904,S34,Mystery,85,2025-06-24
W194,U3232,S8,Mystery,26,2025-02-20
W195,U3021,S34,Mystery,85,2025-07-20
W196,U3321,S5,Sci-Fi,11,2025-04-28
